Name,PID,CommandLine
WmiPrvSE.exe,6104,C:\WINDOWS\system32\wbem\wmiprvse.exe
NisSrv.exe,4056,
svchost.exe,4324,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc
svchost.exe,6088,
svchost.exe,3352,C:\WINDOWS\system32\svchost.exe -k InvSvcGroup -p -s InventorySvc
svchost.exe,4656,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p
svchost.exe,5072,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UsoSvc
svchost.exe,4824,C:\WINDOWS\system32\svchost.exe -k whesvc -p -s whesvc
svchost.exe,4580,
SearchIndexer.exe,1784,C:\WINDOWS\system32\SearchIndexer.exe /Embedding
svchost.exe,4100,C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p -s lfsvc
svchost.exe,3492,C:\WINDOWS\System32\svchost.exe -k netsvcs -p
SecurityHealthService.exe,2028,
msdtc.exe,2364,C:\WINDOWS\System32\msdtc.exe
svchost.exe,5000,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s DsSvc
svchost.exe,3608,C:\WINDOWS\system32\svchost.exe -k WuqiSvcGroup -p -s wuqisvc
csrss.exe,2612,
winlogon.exe,816,winlogon.exe {F4201554-06B6-4F97-A82B-BD0FBF730000}
fontdrvhost.exe,468,"""fontdrvhost.exe"""
dwm.exe,2760,"""dwm.exe"""
svchost.exe,1540,C:\WINDOWS\system32\svchost.exe -k WebThreatDefense -p -s webthreatdefsvc
rdpclip.exe,4104,rdpclip
sihost.exe,2788,sihost.exe
svchost.exe,4088,C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc
svchost.exe,1124,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc
svchost.exe,1252,C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService
