EventType,TimeCreated,ProcessGuid,PID,Image,ParentPID,ParentImage,CommandLine,Protocol,SourceIp,SourcePort,DestinationIp,DestinationPort,DestinationHostname,Initiated,QueryName,QueryStatus,QueryResults,InInitialCapture,InSessionBaseline,BaselineProcessName
DnsQuery,2026-08-28T16:27:57.2193278Z,{0174764e-b6ed-6a91-6745-000000000e00},13708,C:\Users\mmilne\Documents\process-monitor\mcp-test-agent\mcp-test-agent.exe,,,,,,,,,,,api.weather.gov,0,type: 5 sancert.weather.gov.edgekey.net;type: 5 e353369.dscg.akamaiedge.net;::ffff:23.216.149.212;::ffff:23.216.149.217;::ffff:23.216.149.214;::ffff:23.216.149.208;::ffff:23.216.149.213;,No,No,
DnsQuery,2026-08-28T16:27:55.2074982Z,{0174764e-b643-6a91-a244-000000000e00},7644,C:\Windows\Sysmon64.exe,,,,,,,,,,,4.97.84.40.in-addr.arpa.,9003,-,No,Yes,Sysmon64.exe
NetworkConnect,2026-08-28T16:27:54.2201409Z,{0174764e-b707-6a91-6b45-000000000e00},9632,C:\Windows\System32\taskhostw.exe,,,,tcp,192.168.68.106,58591,40.84.97.4,443,-,true,,,,No,No,
DnsQuery,2026-08-28T16:27:54.1718340Z,{0174764e-b707-6a91-6b45-000000000e00},9632,C:\Windows\System32\taskhostw.exe,,,,,,,,,,,settings-win.data.microsoft.com,0,type: 5 atm-settingsfe-prod-geo2.trafficmanager.net;type: 5 settings-prod-eus2-2-tagged.eastus2.cloudapp.azure.com;::ffff:40.84.97.4;,No,No,
NetworkConnect,2026-08-28T16:27:53.4547839Z,{0174764e-dabe-6a88-7210-000000000e00},7180,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,,,udp,ff02:0:0:0:0:0:0:fb,5353,fe80:0:0:0:18b2:960:2d30:bd2d,5353,-,false,,,,Yes,Yes,msedge.exe
NetworkConnect,2026-08-28T16:27:53.4547721Z,{0174764e-dabe-6a88-7210-000000000e00},7180,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,,,udp,224.0.0.251,5353,192.168.68.110,5353,MAC-1BD0FE,false,,,,Yes,Yes,msedge.exe
ProcessTerminate,2026-08-28T16:27:52.6216860Z,{0174764e-b707-6a91-6b45-000000000e00},9632,C:\Windows\System32\taskhostw.exe,,,,,,,,,,,,,,No,No,
NetworkConnect,2026-08-28T16:27:52.4363962Z,{0174764e-d647-6a83-2b00-000000000e00},2076,C:\Windows\System32\svchost.exe,,,,udp,224.0.0.251,5353,192.168.68.110,5353,MAC-1BD0FE,false,,,,Yes,Yes,svchost.exe
NetworkConnect,2026-08-28T16:27:52.4363841Z,{0174764e-d647-6a83-2b00-000000000e00},2076,C:\Windows\System32\svchost.exe,,,,udp,ff02:0:0:0:0:0:0:fb,5353,fe80:0:0:0:18b2:960:2d30:bd2d,5353,-,false,,,,Yes,Yes,svchost.exe
ProcessCreate,2026-08-28T16:27:51.7749257Z,{0174764e-b707-6a91-6e45-000000000e00},12448,C:\Windows\System32\sppsvc.exe,832,C:\Windows\System32\services.exe,C:\WINDOWS\system32\sppsvc.exe,,,,,,,,,,,No,No,
